Meeting Date,Company,Symbol,Industry,SubIndustry,Proposal Type<br>General,Proposal Type<br>Specific,Title,Proponent Type<br>General,Proponent Type<br>Specific,Proponent,Votes For
11/15/2024,Sysco Corp,SYY,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Animal Rights,Establish Measurable Targets for Group Sow Housing for its Pork Products,Social,Socially Responsible Investing Funds,The Accountability Board,0.00
11/15/2024,Sysco Corp,SYY,Consumer Discretionary,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/14/2024,Oracle Corp,ORCL,Financials,Retailing,Social Policy,Climate Risk,Retirement Plan Climate Risk Report,Social,Socially Responsible Investing Funds,As You Sow,0.00
11/14/2024,Oracle Corp,ORCL,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/6/2024,"Automatic Data Processing, Inc.",ADP,Real Estate,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
11/6/2024,"Cardinal Health, Inc.",,Energy,Electric Utilities,Voting Rules,Majority Voting for Directors,Prohibit the Re-nomination of Any Director Who Fails to Receive a Majority Vote,Individual,Individual,John Chevedden,0.19
11/6/2024,"Cardinal Health, Inc.",,Health Care,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
10/23/2024,Parker-Hannifin Corp,,Information Technology,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.88
10/17/2024,Medtronic plc,,Utilities,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
10/8/2024,Procter & Gamble Co,PG,Consumer Staples,Software and Services,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gaps,Social,Socially Responsible Investing Funds,Arjuna Capital,0.30
10/8/2024,Procter & Gamble Co,PG,Materials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
9/24/2024,"General Mills, Inc.",GIS,Real Estate,Specialty Chemicals,Social Policy,Environmental,Plastic Packaging,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.40
9/24/2024,"General Mills, Inc.",GIS,Consumer Discretionary,Media and Entertainment,Social Policy,Supply Chain Risks,Disclosure of Regenerative Agriculture Practices Within Supply Chain,Social,Socially Responsible Investing Funds,As You Sow,0.28
9/24/2024,"General Mills, Inc.",GIS,Utilities,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
9/23/2024,FedEx Corp,,Energy,Electric Utilities,Social Policy,Climate Risk,Climate Lobbying Alignment with Company’s Carbon Neutral Goals,Social,Religious Institutions,United Church Funds,0.20
9/23/2024,FedEx Corp,,Telecommunication Services,Banks,Corporate Governance,Require Shareholder Vote on Bylaws,Shareholder Input on Bylaw Amendments,Individual,Individual,John Chevedden,0.02
9/23/2024,FedEx Corp,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Environmental,“Just Transition” Report,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.22
9/23/2024,FedEx Corp,,Consumer Discretionary,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
9/18/2024,"Conagra Br&s, Inc.",CAG,Industrials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.45
9/10/2024,"NIKE, Inc.",NKE,Industrials,Electric Utilities,Social Policy,Environmental,Report on Environmental Targets,Other,Hedge Fund,Trium Capital,0.27
9/10/2024,"NIKE, Inc.",NKE,Materials,Food Beverage and Tobacco,Social Policy,Socio-Economic Systemic Risks,Divisive Partnerships Congruency Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
9/10/2024,"NIKE, Inc.",NKE,Telecommunication Services,Banks,Social Policy,Human Rights,Implementing Worker-Driven Social Responsibility Affects Human Rights,Social,Socially Responsible Investing Funds,Domini Impact Investments,0.12
9/10/2024,"NIKE, Inc.",NKE,Utilities,Electric Utilities,Social Policy,Human Rights,Report on Supply Chain Management to Ensure Equity & Human Rights,Social,Socially Responsible Investing Funds,Tulipshare Ltd.,0.13
9/10/2024,"NIKE, Inc.",NKE,Information Technology,Retailing,Social Policy,Gender/Racial Equality,Report on Median Racial and Gender Pay Gaps,Social,Socially Responsible Investing Funds,Arjuna Capital,0.26
9/10/2024,"NIKE, Inc.",NKE,Energy,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
7/31/2024,McKesson Corp,,Energy,Electric Utilities,Social Policy,Health Care,Report on Risks of State Policies Restricting Reproductive Health Care,Social,Socially Responsible Investing Funds,Rhia Ventures,0.17
7/31/2024,McKesson Corp,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.24
7/31/2024,McKesson Corp,,Utilities,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
7/23/2024,V.F. Corp,VFC,Industrials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
6/27/2024,The Kroger Co.,KR,Health Care,Real Estate Investment Trusts,Social Policy,Employment Rights,"""Just Transition"" Report",Social,Socially Responsible Investing Funds,Domini Impact Investments,0.18
6/27/2024,The Kroger Co.,KR,Utilities,Media and Entertainment,Social Policy,Employment Rights,Living Wage Policy,Social,Public Policy Interest Groups,The Shareholder Commons,0.17
6/27/2024,The Kroger Co.,KR,Telecommunication Services,Retailing,Social Policy,Charitable Giving,"Listing of Charitable Contributions of $10,000 or more",Individual,Individual,Louis B & Diana R Eichold Trust,0.06
6/27/2024,The Kroger Co.,KR,Information Technology,Banks,Social Policy,Health Care,Report on Public Health Costs from Sale of Tobacco Products,Social,Religious Institutions,Sisters of St. Francis,0.11
6/27/2024,The Kroger Co.,KR,Materials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
6/25/2024,"CarMax, Inc.",KMX,Telecommunication Services,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
6/21/2024,Aon plc,,Industrials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.69
6/20/2024,"Delta Air Lines, Inc.",,Health Care,Food Beverage and Tobacco,Social Policy,Employment Rights,Adoption of Non-Interference Policy,Social,Socially Responsible Investing Funds,As You Sow,0.25
6/20/2024,"Delta Air Lines, Inc.",,Consumer Staples,Media and Entertainment,Social Policy,Political Spending,Report Political Spending by Delta Sponsored Trade Associations,Individual,Individual,John Chevedden,0.04
6/20/2024,"Delta Air Lines, Inc.",,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.72
6/20/2024,eBay Inc.,EBAY,Consumer Discretionary,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
6/18/2024,"MetLife, Inc.",,Telecommunication Services,Capital Goods,Social Policy,Racial/Social Justice,Third-Party Racial Equity Audit,Social,Public Policy Interest Groups,Women's Foundation California,0.17
6/18/2024,"MetLife, Inc.",,Real Estate,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
6/13/2024,GameStop Corp.,GME,Consumer Staples,Integrated Oil and Gas,Corporate Governance,Board and CEO Diversity,Board Skills and Diversity Matrix,Labor,State/City Specific Public Employee Pension Funds,NYC Comptroller's Office,0.10
6/13/2024,GameStop Corp.,GME,Health Care,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
6/12/2024,"Best Buy Co., Inc.",BBY,Telecommunication Services,Food Beverage and Tobacco,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.06
6/12/2024,"Best Buy Co., Inc.",BBY,Financials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
6/12/2024,Target Corp,TGT,Telecommunication Services,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Charitable Giving,"Charitable Contributions, Financial Sustainability & Risk Report",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
6/12/2024,Target Corp,TGT,Consumer Staples,Media and Entertainment,Social Policy,Political Spending,Political Contributions Congruency Analysis,Social,Public Policy Interest Groups,Tara Health Foundation,0.14
6/12/2024,Target Corp,TGT,Telecommunication Services,Food Beverage and Tobacco,Social Policy,Employment Rights,Set Wage Policies,Social,Public Policy Interest Groups,The Shareholder Commons,0.13
6/12/2024,Target Corp,TGT,Industrials,Banks,Social Policy,Animal Rights,Animal Pain Management Reporting,Social,Social - Other,Humane Society of the U.S.,0.09
6/12/2024,Target Corp,TGT,Health Care,Real Estate Investment Trusts,Corporate Governance,Chairman Independence,Independent Board Chair,Social,Socially Responsible Investing Funds,The Accountability Board,0.29
6/12/2024,Target Corp,TGT,Industrials,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
6/12/2024,Caterpillar Inc.,,Consumer Staples,Retailing,Corporate Governance,Limit Directors' Other Co. Board Membership,Director Board Service,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
6/12/2024,Caterpillar Inc.,,Industrials,Electric Utilities,Social Policy,Lobbying,Lobbying Disclosure,Individual,Individual,Myra K. Young,0.23
6/12/2024,Caterpillar Inc.,,Financials,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.31
6/12/2024,Caterpillar Inc.,,Consumer Staples,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
6/11/2024,Freeport-McMoRan Inc.,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
6/10/2024,Comcast Corp,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Political Spending,Political Expenditures Misalignment with Company Values,Social,Socially Responsible Investing Funds,Arjuna Capital,0.15
6/10/2024,Comcast Corp,,Industrials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
6/7/2024,Alphabet Inc.,GOOGL,Consumer Staples,Capital Goods,Social Policy,Child Safety,Report on Online Safety for Children,Social,Socially Responsible Investing Funds,Boston Common Asset Management,0.14
6/7/2024,Alphabet Inc.,GOOGL,Health Care,Software and Services,Social Policy,Human Rights,Human Rights Assessment of AI-Driven Targeted Ad Policies,Social,Socially Responsible Investing Funds,SHARE (Sharehldr Assoc for Research & Educ,0.19
6/7/2024,Alphabet Inc.,GOOGL,Materials,Software and Services,Social Policy,Artificial Intelligence (AI),Report on Generative AI Misinformation and Disinformation Risks,Social,Socially Responsible Investing Funds,Arjuna Capital,0.18
6/7/2024,Alphabet Inc.,GOOGL,Utilities,Real Estate Investment Trusts,Social Policy,Artificial Intelligence (AI),AI Principles and Board Oversight,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.07
6/7/2024,Alphabet Inc.,GOOGL,Materials,Retailing,Social Policy,Health Care,Report on Reproductive Healthcare Misinformation Risks,Social,Social - Other,Educational Foundation of America,0.06
6/7/2024,Alphabet Inc.,GOOGL,Financials,Electric Utilities,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share an Equal Vote,Social,Socially Responsible Investing Funds,Northstar Asset Management,0.31
6/7/2024,Alphabet Inc.,GOOGL,Information Technology,Food Beverage and Tobacco,Social Policy,Lobbying,Report on Lobbying,Social,Religious Institutions,United Church Funds,0.15
6/7/2024,Alphabet Inc.,GOOGL,Materials,Food Beverage and Tobacco,Social Policy,Climate Risk,Report on Climate Risks to Retirement Plan Beneficiaries,Social,Socially Responsible Investing Funds,As You Sow,0.04
6/7/2024,Alphabet Inc.,GOOGL,Real Estate,Media and Entertainment,Social Policy,Political & Charitable Spending,Policy for Director Transparency on Political & Charitable Giving,Social,Public Policy Interest Groups,National Legal and Policy Center,0.00
6/7/2024,Alphabet Inc.,GOOGL,Industrials,Real Estate Investment Trusts,Social Policy,Human Rights,Report on Electromagnetic Radiation & Wireless Technologies Risks,Individual,Individual,Lendri Purcell,0.01
6/7/2024,Alphabet Inc.,GOOGL,Materials,Software and Services,Social Policy,Employment Rights,EEO Policy Risk Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.00
6/7/2024,Alphabet Inc.,GOOGL,Real Estate,Retailing,Executive Compensation,Director Compensation,Bylaw Amendment: Stockholder Approval of Director Compensation,Individual,Individual,John Chevedden,0.01
6/6/2024,DaVita Inc.,,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
6/6/2024,World Kinect Corp,,Telecommunication Services,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
6/6/2024,The Mosaic Co,,Materials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
6/5/2024,Walmart Inc.,WMT,Consumer Staples,Specialty Chemicals,Social Policy,Sustainability Metrics,Corporate Financial Sustainability Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.00
6/5/2024,Walmart Inc.,WMT,Telecommunication Services,Software and Services,Social Policy,Employment Rights,Workplace Safety & Violence Review,Individual,Individual,Cynthia Murray,0.19
6/5/2024,Walmart Inc.,WMT,Utilities,Capital Goods,Social Policy,Civil Rights Audit,Report on Respecting Workforce Civil Liberties,Other,Investment Adviser,Bowyer Research,0.00
6/5/2024,Walmart Inc.,WMT,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Employment Rights,Set Compensation that Optimizes Portfolio Value for Company Shareholders,Social,Public Policy Interest Groups,The Shareholder Commons,0.04
6/5/2024,Walmart Inc.,WMT,Utilities,Retailing,Social Policy,Human Rights,Human Rights Impact Assessment,Social,Social - Other,"Oxfam America, Inc.",0.12
6/5/2024,Walmart Inc.,WMT,Consumer Discretionary,Retailing,Social Policy,Racial/Social Justice,Racial Equity Audit,Labor,Company-Specific Labor Union Pension Funds,Organization United for Respect (OUR),0.15
6/5/2024,Walmart Inc.,WMT,Energy,Media and Entertainment,Social Policy,Animal Rights,Targets for Transitioning from Gestation Crates in Pork Supply Chain,Social,Socially Responsible Investing Funds,The Accountability Board,0.13
6/5/2024,Walmart Inc.,WMT,Information Technology,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
6/5/2024,Devon Energy Corp,,Utilities,Integrated Oil and Gas,Executive Compensation,Director Compensation,Bylaw Amendment: Stockholder Approval of Director Compensation,Individual,Individual,John Chevedden,0.02
6/5/2024,Devon Energy Corp,,Financials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
6/4/2024,General Motors Co,,Health Care,Specialty Chemicals,Social Policy,Supply Chain Risks,Report on Sustainability Risk in the Company’s Supply Chain,Individual,Individual,Amy Floyd,0.14
6/4/2024,General Motors Co,,Consumer Discretionary,Food Beverage and Tobacco,Social Policy,Supply Chain Risks,Report on Use of Deep-Sea Mined Minerals in Production & Supply Chains,Social,Socially Responsible Investing Funds,The Woodcock Foundation,0.12
6/4/2024,General Motors Co,,Health Care,Specialty Chemicals,Executive Compensation,Performance Metrics Requirements,Eliminate EV Targets from Incentive Compensation Programs,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
6/4/2024,General Motors Co,,Energy,Electric Utilities,Social Policy,Child Safety,Use of Child Labor in EV- Electric Vehicle Supply Chain,Individual,Individual,New Breeze,0.13
6/4/2024,General Motors Co,,Materials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.58
6/4/2024,Cognizant Technology Solutions Corp,CTSH,Health Care,Media and Entertainment,Corporate Governance,Multiple Board Nominees for each Seat,Fair Treatment of Shareholder Nominees,Individual,Individual,James McRitchie,0.02
6/4/2024,Cognizant Technology Solutions Corp,CTSH,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
6/4/2024,Paramount Global,,Telecommunication Services,Media and Entertainment,Social Policy,Artificial Intelligence (AI),Disclose a “Transparency Report” Regarding Use of Artificial Intelligence,Other,Undisclosed,N/A - Undisclosed,0.02
6/4/2024,Paramount Global,,Consumer Staples,Retailing,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Other,Undisclosed,N/A - Undisclosed,0.02
6/4/2024,"The TJX Companies, Inc.",TJX,Financials,Specialty Chemicals,Social Policy,Human Rights,Due Diligence on Human Rights in Supply Chain,Social,Socially Responsible Investing Funds,Northstar Asset Management,0.19
6/4/2024,"The TJX Companies, Inc.",TJX,Information Technology,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
6/3/2024,UnitedHealth Grp Inc,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying and Political Spending,Report on Congruency of Political & Electioneering Expenditures,Social,Social - Other,Educational Foundation of America,0.25
6/3/2024,UnitedHealth Grp Inc,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/31/2024,"Lowe's Companies, Inc.",LOW,Telecommunication Services,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/31/2024,Amgen Inc.,,Financials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/29/2024,Exxon Mobil Corp,,Materials,Real Estate Investment Trusts,Social Policy,Socio-Economic Systemic Risks,Additional Social Impact Report,Labor,General Private Labor Union Pension Funds,United Steelworkers,0.08
5/29/2024,Exxon Mobil Corp,,Information Technology,Software and Services,Social Policy,Environmental,Report on Plastic Production Under SCS Scenario,Social,Religious Institutions,United Church Funds,0.21
5/29/2024,Exxon Mobil Corp,,Real Estate,Capital Goods,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Reporting,Other,Investment Adviser,Broz Family Investments LLC,0.20
5/29/2024,Exxon Mobil Corp,,Financials,Media and Entertainment,Social Policy,Climate Risk,Revisit Executive Pay Incentives for GHG Emission Reductions,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
5/29/2024,Exxon Mobil Corp,,Real Estate,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/29/2024,Chevron Corp,,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Global Spending Transparency,Tax Transparency Report in Line with Global Reporting Initiative (GRI),Social,Social - Other,"Oxfam America, Inc.",0.15
5/29/2024,Chevron Corp,,Information Technology,Real Estate Investment Trusts,Social Policy,Human Rights,Third-Party Report on Human Rights Practices,Social,Religious Institutions,American Baptist Home Mission Society,0.22
5/29/2024,Chevron Corp,,Consumer Staples,Food Beverage and Tobacco,Social Policy,Environmental,Report on Plastic Demand Scenario,Social,Socially Responsible Investing Funds,As You Sow,0.08
5/29/2024,Chevron Corp,,Health Care,Software and Services,Social Policy,Climate Risk,Report on Voluntary Carbon Reduction Risks,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/29/2024,Chevron Corp,,Industrials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/29/2024,Dollar General Corp,DG,Real Estate,Software and Services,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Executive Pay,Individual,Individual,John Chevedden,0.05
5/29/2024,Dollar General Corp,DG,Real Estate,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.73
5/29/2024,"Meta Platforms, Inc.",META,Energy,Retailing,Social Policy,Climate Risk,Report on Framework to Assess Lobbying Alignment with Climate Goals,Social,Religious Institutions,Presbyterian Church (USA),0.08
5/29/2024,"Meta Platforms, Inc.",META,Industrials,Software and Services,Social Policy,Political Spending,Political Advertising and Election Cycle Enhanced Actions,Social,Socially Responsible Investing Funds,As You Sow,0.03
5/29/2024,"Meta Platforms, Inc.",META,Consumer Staples,Capital Goods,Social Policy,Child Safety,Report and Advisory Vote on Minimum Age for Social Media,Social,Public Policy Interest Groups,National Legal and Policy Center,0.00
5/29/2024,"Meta Platforms, Inc.",META,Consumer Staples,Media and Entertainment,Social Policy,Child Safety,Report on Child Safety Impacts and Actual Harm Reduction to Children,Social,Socially Responsible Investing Funds,Proxy Impact,0.18
5/29/2024,"Meta Platforms, Inc.",META,Utilities,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Human Rights Impact Assessment,Social,Religious Institutions,Mercy Investment Services,0.14
5/29/2024,"Meta Platforms, Inc.",META,Real Estate,Software and Services,Corporate Governance,Amend Corp. Governance Guidelines,Amendment of Corporate Governance Guidelines,Social,Socially Responsible Investing Funds,SHARE (Sharehldr Assoc for Research & Educ,0.18
5/29/2024,"Meta Platforms, Inc.",META,Consumer Discretionary,Electric Utilities,Social Policy,Human Rights,Report on Human Rights Risks in Non-US Markets,Other,Foreign Government Pension Fund,AkademikerPension,0.05
5/29/2024,"Meta Platforms, Inc.",META,Financials,Electric Utilities,Voting Rules,Vote Counting Standard,Disclosure of Voting Results Based on Class of Shares,Labor,State/City Specific Public Employee Pension Funds,Illinois State Treasurer,0.17
5/29/2024,"Meta Platforms, Inc.",META,Consumer Discretionary,Specialty Chemicals,Social Policy,Artificial Intelligence (AI),Report on Generative AI Misinformation and Disinformation Risks,Social,Socially Responsible Investing Funds,Arjuna Capital,0.17
5/29/2024,"Meta Platforms, Inc.",META,Financials,Integrated Oil and Gas,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share An Equal Vote,Social,Socially Responsible Investing Funds,Northstar Asset Management,0.26
5/29/2024,"Meta Platforms, Inc.",META,Industrials,Food Beverage and Tobacco,Corporate Governance,Voting Rules,Give Each Share An Equal Vote,Social,Socially Responsible Investing Funds,Northstar Asset Management,0.26
5/28/2024,"Merck & Co., Inc.",,Materials,Electric Utilities,Social Policy,Employment Rights,Report on Respecting Workforce Civil Liberties,Individual,Individual,Bahnsen Family Trust,0.02
5/28/2024,"Merck & Co., Inc.",,Consumer Staples,Real Estate Investment Trusts,Corporate Governance,Government Censorship,Government Censorship Transparency Report,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/28/2024,"Merck & Co., Inc.",,Materials,Integrated Oil and Gas,Corporate Governance,Written Consent,Shareholder Right to Act by Written Consent,Individual,Individual,Kenneth Steiner,0.35
5/28/2024,"Merck & Co., Inc.",,Real Estate,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/23/2024,"DuPont de Nemours, Inc.",,Industrials,Electric Utilities,Executive Compensation,Clawback,Amend Clawback Policy for Unearned Pay for Each NEO,Individual,Individual,Kenneth Steiner,0.08
5/23/2024,"DuPont de Nemours, Inc.",,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
5/23/2024,Morgan Stanley,,Industrials,Software and Services,Social Policy,Climate Risk,Clean Energy Supply Financing Ratio,Labor,State/City Specific Public Employee Pension Funds,NYC Comptroller's Office,0.23
5/23/2024,Morgan Stanley,,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.31
5/23/2024,Morgan Stanley,,Health Care,Real Estate Investment Trusts,Social Policy,Human Rights,Report on Risks of Politicized De-Banking,Social,Public Policy Interest Groups,American Conservative Values ,0.02
5/23/2024,Morgan Stanley,,Real Estate,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.75
5/23/2024,"NextEra Energy, Inc.",,Real Estate,Food Beverage and Tobacco,Social Policy,Climate Risk,Climate Lobbying Report,Social,Foreign Religious Invest.,CCLA Invest. Mgmt.,0.33
5/23/2024,"NextEra Energy, Inc.",,Health Care,Integrated Oil and Gas,Corporate Governance,Board and CEO Diversity,Board Matrix,Labor,State/City Specific Public Employee Pension Funds,New York City Employees' Retirement System,0.41
5/23/2024,"NextEra Energy, Inc.",,Information Technology,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
